SampleName,E1,E2,E3,E4,E5,B1,B2,B3,Q1,Q2,Q3,V1,V2,V3,P1,P2,P3,P4,RAFT,E6,E7,E8,E9,E10,E11,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,V4,V5,V6,V7,V8,V9,P5,P6,P7,P9
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z07-r15,-0.28875,-0.050142,-0.169446,0.119304,8.381948635,0.120331032,2.36459681,1.54908985,1.31840529,1.21713267,0.87841231,0.86738425,0.874428497,1.24023925,0.77014157,1.031306127,-0.1463,0.4881,0.349,0.4186,-0.1391,1.3995,0.0506,0.1612,0.1484,0.1548,-0.0128,0.5176,34.6,29.4,22.5,56.8,45.6,29.9,17.42896184,48.28261066,8.478919327,5.300144944
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z07-r16,-0.299843,-0.061068,-0.1804555,0.1193875,8.376086274,0.136380222,2.35663878,1.55077108,1.32044854,1.20726483,0.87733551,0.86682722,0.873523917,1.24707662,0.76591928,1.07669871,-0.1373,0.4868,0.3447,0.4157,-0.1421,1.3853,0.0671,0.1634,0.156,0.1597,-0.0074,0.532,35.2,29.1,21.5,54.9,43.1,27.8,17.37193179,40.30140404,9.368802203,4.740923161
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z07-r17,-0.277736,-0.042329,-0.1600325,0.1177035,8.49592408,0.108792012,2.33052626,0.15725446,1.31647944,1.19283241,0.87894113,0.86966995,0.875734603,1.22788954,0.77924457,1.037467687,-0.1706,0.4801,0.3287,0.4044,-0.1514,1.3938,0.0391,0.1564,0.1475,0.152,-0.0089,0.5237,35.1,29.2,22.1,57.1,47,32.8,18.66980282,44.22769411,9.298591033,5.630564668
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z07-r18,-0.272781,-0.040374,-0.1565775,0.1162035,8.605592775,0.105489566,2.32720437,1.59393944,1.30884511,1.14813013,0.87984742,0.87109027,0.87639324,1.1900897,1.184691,1.188261123,-0.1619,0.4766,0.3293,0.403,-0.1473,1.3856,0.0345,0.1506,0.1481,0.1493,-0.0024,0.5135,37.2,31.7,23.6,58.8,47.6,29.9,17.07039673,41.64676794,9.622634984,5.556406325
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z07-r19,-0.274503,-0.042861,-0.158682,0.115821,8.63401283,0.108702123,2.33060465,1.57618433,1.31031866,1.15042992,0.87887279,0.86880317,0.875398107,1.33480072,1.18802334,1.237460697,-0.1681,0.4817,0.3261,0.4039,-0.1556,1.3988,0.0433,0.1493,0.144,0.1466,-0.0053,0.5079,39.1,35.2,28.1,61.5,51.6,34.3,17.81570297,47.81635744,8.946078253,6.070419465
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z07-r20,-0.294249,-0.057067,-0.175658,0.118591,8.432343095,0.130093063,2.28374891,1.60734171,1.30846617,1.14106498,0.87782923,0.86836656,0.874242707,1.18177413,0.99873798,1.117060793,-0.1401,0.4539,0.3131,0.3835,-0.1408,1.3067,0.0586,0.1432,0.1467,0.145,0.0035,0.494,39.1,33.5,25,59.7,49.7,33.3,17.83683457,49.88630658,9.291586929,6.05290627
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z07-r21,-0.285629,-0.051398,-0.1685135,0.1171155,8.538579437,0.121234165,2.34380965,1.57531549,1.31063719,1.20231992,0.87820839,0.86917849,0.87483676,1.42861734,1.25161082,1.310665533,-0.1486,0.4759,0.3339,0.4049,-0.142,1.3831,0.0435,0.1493,0.1484,0.1488,-0.0009,0.5084,37.2,31.8,23.7,58.9,48.2,30.8,17.7442675,43.15640381,9.630940954,5.966387275
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z07-r22,-0.279728,-0.044548,-0.162138,0.11759,8.5041245,0.111781321,0.05158604,0.15142499,1.31185194,1.16131212,0.87907074,0.86910904,0.87529711,1.1766297,0.99961781,1.110847093,-0.1493,0.4754,0.3178,0.3966,-0.1576,1.3594,0.0463,0.1534,0.1498,0.1516,-0.0036,0.5196,41.3,37.3,29.5,59.9,49.8,34,17.74149136,43.8701982,8.891789137,6.206298154
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z07-r23,-0.281608,-0.045875,-0.1637415,0.1178665,8.484174893,0.113735789,2.32674212,1.56088011,1.31273493,1.16534075,0.8785108,0.8684795,0.8751468,1.17659513,1.0129415,1.11481916,-0.1481,0.4776,0.3292,0.4034,-0.1484,1.372,0.0461,0.1537,0.1484,0.1511,-0.0053,0.5139,40.6,35.7,27.3,59.9,49.6,32.5,17.50913821,43.23593986,9.169976654,6.028144925
1m,-0.2209,0.254311,0.026711,0.140511,8.787346221,1.38988494,0.82017657,1.16533139,-0.0135,0.1886,0.8288,55.6,34.1,22,16.32857157,39.57132883,8.327453844,4.383668357,z07-r24,-0.286546,-0.051847,-0.1691965,0.1173495,8.521553138,0.121975192,2.37073667,1.52899007,1.31471639,1.15430387,0.87857204,0.86771836,0.874362513,1.16664536,1.15324349,1.16196695,-0.1214,0.4737,0.3413,0.4075,-0.1324,1.3851,0.048,0.1495,0.1404,0.1449,-0.0092,0.4927,39.1,33.7,25.4,58,47.5,30.9,17.54008125,44.85789964,9.622005874,6.115838386
